Timeline,Start time,Duration,Row,Original Instance,BOB,COMMENTS,CP,D COVERAGES,D KIND OF SCREEN,D POST UP,D ROLL,D SCREEN LOCATION,D SCREENER,D SITUATION,GENERATOR,GRAVITY HANDLER PLAYER,GRAVITY SCREENER,GRAVITY SCREENER PLAYER,HANDLER GRAVITY,MOVES,O COVERAGES,O KIND OF SCREEN,O POST UP,O ROLL,O SCREEN LOCATION,O SCREENER,OPPONENTS PLAY CALLS,PAINT TOUCHES,PLAN/BROKEN PLAY,PLAY CALLS,PLAYER PT,PLAYERS,PLAYERS 2ND,PRESSING,QUALITY,QUARTER,RESULTS,RESULTS 2ND,SITUATION,SOB,SPECIAL,Shot Location,VIDEO,ZONE,Ungrouped,Notes,Flags,ocr_quarter,start_time_game_clock,player_name,action,action_game_clock,shot_clock,team1_score,team2_score,team1_p1_name,team1_p2_name,team1_p3_name,team1_p4_name,team1_p5_name,team2_p1_name,team2_p2_name,team2_p3_name,team2_p4_name,team2_p5_name
Venezia - Olimpia Milano 26-04-26,2624.094290427,5.9272981969998,DEFENSE,DEFENSE: 52,,,,,,,,,,SCREENS G,FB,,,,,,,,,,,,SOB,,,,,#10 Bolmaro Leandro,,,1,3 Q,TO,,,,,,Y,,,,,3,07:58,Ricci Giampaolo,THREE_POINT_MADE,07:53,22,39,60,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Wheatle Carl,Bolmaro Leandro,Ricci Giampaolo,Ellis Quinn,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,2641.915675372,10.170189473999926,DEFENSE,DEFENSE: 53,,,,PUSH,,,,SIDE L,4,P&R Handler,,#3 Ellis Quinn,SCREENER,#17 Ricci Giampaolo,HANDLER,,,,,,,,"DRAG, DRAG",DR P,,,#17 Ricci Giampaolo,#17 Ricci Giampaolo,,,2,3 Q,2P+,,,,,Left Corner 3,Y,,,,,3,07:44,Ricci Giampaolo,PERSONAL_FOUL_RECEIVED,07:21,10,41,60,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Wheatle Carl,Bolmaro Leandro,Ricci Giampaolo,Ellis Quinn,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,2759.557040399,12.580932191000102,DEFENSE,DEFENSE: 54,,,,DROP,,,,TOP L,5,P&R Spot up,FB,#10 Bolmaro Leandro,SCREENER,#32 Nebo Josh,HANDLER,,,,,,,,AWAY,P&R,,,#10 Bolmaro Leandro,#17 Ricci Giampaolo,,,4,3 Q,3P-,,,,,Right Wing 3,Y,,,,,3,07:14,Bolmaro Leandro,DEFENSIVE_REBOUND,07:11,20,41,61,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Wheatle Carl,Bolmaro Leandro,Ricci Giampaolo,Ellis Quinn,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,2787.717688888889,18.701469240111237,DEFENSE,DEFENSE: 55,,,,PUSH,SLIP,,SHORT ROLL,SLOT R,5,P&R Cut,,#10 Bolmaro Leandro,SCREENER,#32 Nebo Josh,HANDLER,,,,,,,,FREE LANCE,ROLL,,,#32 Nebo Josh,#17 Ricci Giampaolo,,,5,3 Q,0-2 FT,,,,,Rim,Y,,,,,3,06:56,Ricci Giampaolo,PERSONAL_FOUL,06:53,19,41,61,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Wheatle Carl,Bolmaro Leandro,Ricci Giampaolo,Ellis Quinn,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,2861.13614286,18.99713491800003,DEFENSE,DEFENSE: 56,,,,,,,,,,MULTIPLE OPTIONS,,,,,,,,,,,,,DRAG 4,,,,,#10 Bolmaro Leandro,,,,3 Q,F,,,,,,Y,,,,,3,06:22,Bolmaro Leandro,PERSONAL_FOUL,06:10,12,41,64,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Wheatle Carl,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,2914.731415031,18.79633800800002,DEFENSE,DEFENSE: 57,,,,,,,,,,MULTIPLE OPTIONS,,,,,,,,,,,,,BOB,,,,,#32 Nebo Josh,,,3,3 Q,3P+,,,,,Left Wing 3,Y,,,,,3,06:05,Mannion Nico,TURNOVER,05:43,8,44,64,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Ricci Giampaolo,Mannion Nico,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,2977.938431223,9.086590999222153,DEFENSE,DEFENSE: 58,,,,,,,,,,FB,,,,,,,,,,,,,FB,,,,,#17 Ricci Giampaolo,,,,3 Q,OB,,,,,,Y,,,,,4,05:39,Nebo Josh,DEFENSIVE_REBOUND,05:28,13,44,64,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Ricci Giampaolo,Mannion Nico,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,2993.79221295,14.812273417000142,DEFENSE,DEFENSE: 59,,,,,,,,,,1on1,,,,,,,,,,,,,BOB,DR P,,,#32 Nebo Josh,#32 Nebo Josh,,,2,3 Q,IN-,,,,,Rim,Y,,,,,3,05:34,Nebo Josh,DEFENSIVE_REBOUND,05:28,13,44,64,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Ricci Giampaolo,Mannion Nico,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,3026.091200962,18.279649617999894,DEFENSE,DEFENSE: 60,,,,TRAIL HO,,,,SIDE OUT L,5,HO Handler,,#12 Brooks Armoni,SCREENER,#32 Nebo Josh,HANDLER,,,,,,,,TRANSITION LP,,,,,#12 Brooks Armoni,,,2,3 Q,3P+,,,,,Left Corner 3,Y,,,,,3,05:10,Shields Shavon,PERSONAL_FOUL_RECEIVED,04:34,8,47,64,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Ricci Giampaolo,Mannion Nico,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,3130.012615665,24.78660655700014,DEFENSE,DEFENSE: 61,,,,PUSH,,,,SLOT R,5,P&R Handler,,#1 Mannion Nico,SCREENER,#32 Nebo Josh,HANDLER,,,,,,,,AWAY ISO,P&R,,,#1 Mannion Nico,#1 Mannion Nico,,,4,3 Q,2-2 FT,,,,,,Y,,,,,3,04:16,Mannion Nico,PERSONAL_FOUL,04:01,9,47,64,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,LeDay Zach,Mannion Nico,Shields Shavon,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,3213.039907295,21.209455961000003,DEFENSE,DEFENSE: 62,,,,FLAT,,,,SLOT R,5,P&R 1on1,,#31 Shields Shavon,SCREENER,#32 Nebo Josh,HANDLER,,,,,,,,DRAG,,,,,#16 Le Day Zach,,,3,3 Q,3P+,,,,,Left Wing 3,Y,,,,,3,03:42,Shields Shavon,TWO_POINT_MADE,03:20,17,52,66,Horton Chris,Cole R.J.,Parks Jordan,Wheatle Carl,Bowman Ky,LeDay Zach,Diop Ousmane,Mannion Nico,Shields Shavon,Guduric Marko
Venezia - Olimpia Milano 26-04-26,3264.742847173,22.6557641993204,DEFENSE,DEFENSE: 63,,,,,,,,,,1on1 Cut,,,,,,,,,,,,,DRAG 4 CORNERS,CUT,,,#16 Le Day Zach,#16 Le Day Zach,,,5,3 Q,2-2 FT,,,,,Rim,Y,,,,,3,03:11,LeDay Zach,PERSONAL_FOUL,03:02,,52,66,Horton Chris,Cole R.J.,Parks Jordan,Wheatle Carl,Bowman Ky,LeDay Zach,Diop Ousmane,Mannion Nico,Shields Shavon,Guduric Marko
Venezia - Olimpia Milano 26-04-26,3377.125172573,21.367729172000054,DEFENSE,DEFENSE: 64,,,,,,,,,,1on1 Cut,,,,,,,,,,,,,AWAY,CUT,,,#31 Shields Shavon,#25 Diop Ousmane,,,5,3 Q,IN+,,,,,Rim,Y,,,,,3,02:35,Diop Ousmane,PERSONAL_FOUL_RECEIVED,02:12,21,56,66,Horton Chris,Candi Leonardo,Parks Jordan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Mannion Nico,Shields Shavon,Guduric Marko
Venezia - Olimpia Milano 26-04-26,3453.389229168,11.022773213000164,DEFENSE,DEFENSE: 65,,,,SHOOT THE GAP,,,,TOP L,5,HO Handler,,#1 Mannion Nico,SCREENER,#25 Diop Ousmane,HANDLER,,,,,,,,AWAY,P&R,,,#1 Mannion Nico,#1 Mannion Nico,,,3,3 Q,IN-,,,,,Paint,Y,,,,,3,02:03,Shields Shavon,DEFENSIVE_REBOUND,01:55,15,56,66,Horton Chris,Candi Leonardo,Parks Jordan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Mannion Nico,Shields Shavon,Guduric Marko
Venezia - Olimpia Milano 26-04-26,3488.030844198,19.2394070549999,DEFENSE,DEFENSE: 66,,,,DROP,,,,SIDE R,5,P&R Handler,,#31 Shields Shavon,SCREENER,#25 Diop Ousmane,HANDLER,,,,,,,,DRAG,P&R,,,#31 Shields Shavon,#31 Shields Shavon,,,2,3 Q,2P+,,,,,Right Wing Mid-Range,Y,,,,,3,01:30,Bolmaro Leandro,THREE_POINT_MISSED,00:59,,58,66,Horton Chris,Candi Leonardo,Parks Jordan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Mannion Nico,Shields Shavon,Guduric Marko
Venezia - Olimpia Milano 26-04-26,3521.406378663,9.422477937000167,DEFENSE,DEFENSE: 67,,,,DROP,,,,SLOT R,5,P&R Handler,,#10 Bolmaro Leandro,SCREENER,#25 Diop Ousmane,HANDLER,,,,,,,,DRAG,,,,,#10 Bolmaro Leandro,,,2,3 Q,3P-,,,,,Top of Key 3,Y,,,,,3,01:00,Bolmaro Leandro,THREE_POINT_MISSED,00:59,,58,66,Horton Chris,Candi Leonardo,Parks Jordan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Mannion Nico,Shields Shavon,Guduric Marko
Venezia - Olimpia Milano 26-04-26,3567.949637558,29.96733691999998,DEFENSE,DEFENSE: 68,,,,,,,,,,1on1,,,,,,,,,,,,,EOQ,,,,,#31 Shields Shavon,,,2,3 Q,3P + 1,,,,,Left Wing 3,Y,,,,,3,01:00,Bolmaro Leandro,THREE_POINT_MISSED,00:59,,58,66,Horton Chris,Candi Leonardo,Parks Jordan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Mannion Nico,Shields Shavon,Guduric Marko
Venezia - Olimpia Milano 26-04-26,3698.768657916,25.11745698599998,DEFENSE,DEFENSE: 69,,,,,,,,,,1on1 Spot up,,,,,,,,,,,,,54,DR P,,,#23 Guduric Marko,#17 Ricci Giampaolo,,,5,4 Q,3P-,,,,,Left Wing 3,Y,,,,,3,01:00,Brooks Armoni,TURNOVER,00:52,,82,87,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Guduric Marko,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,3781.895267287,7.303481985999952,DEFENSE,DEFENSE: 70,,,,,,,,,,FB,,,,,,,,,,,,,FB,,,,,#23 Guduric Marko,,,,4 Q,F,,,,,,Y,,,,,4,09:09,Bolmaro Leandro,TURNOVER,09:08,,62,66,Horton Chris,Candi Leonardo,Parks Jordan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,3828.8198444444442,17.906368535555885,DEFENSE,DEFENSE: 71,,,,,,,,,,1on1,,,,,,,,,,,,,SOB,DR P,,,#10 Bolmaro Leandro,#25 Diop Ousmane,,,2,4 Q,TO + F,,,,,,Y,,,,,4,09:07,Guduric Marko,PERSONAL_FOUL,09:04,,62,66,Horton Chris,Candi Leonardo,Parks Jordan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,3891.970549675,15.268664085000182,DEFENSE,DEFENSE: 72,,,,FLAT,,,,TOP L,5,P&R Handler,,#17 Ricci Giampaolo,SCREENER,#25 Diop Ousmane,HANDLER,,,,,,,,AWAY,,,,,#17 Ricci Giampaolo,,,2,4 Q,3P+,,,,,Top of Key 3,Y,,,,,4,08:38,Bolmaro Leandro,TWO_POINT_MADE,08:06,10,65,71,Horton Chris,Candi Leonardo,Parks Jordan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,3928.417646692,11.255475696000303,DEFENSE,DEFENSE: 73,,,,PUSH,,,,SIDE R,5,P&R Screener,,#23 Guduric Marko,SCREENER,#25 Diop Ousmane,HANDLER,,,,,,,,DRAG 4 CORNERS,ROLL,,,#25 Diop Ousmane,#25 Diop Ousmane,,,4,4 Q,IN-,,,,,Rim,Y,,,,,4,08:01,Diop Ousmane,BLOCK,07:52,15,65,71,Horton Chris,Candi Leonardo,Parks Jordan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,3987.517209887,25.61551938499997,DEFENSE,DEFENSE: 74,,,,DROP,,,,ELBOW R,5,P&R Spot up,,#10 Bolmaro Leandro,SCREENER,#25 Diop Ousmane,HANDLER,,,,,,,,2 UP,,,,,#17 Ricci Giampaolo,,,2,4 Q,TO + F,,,,,Left Wing 3,Y,,,,,4,07:34,Ricci Giampaolo,THREE_POINT_MADE,07:34,11,65,74,Horton Chris,Candi Leonardo,Parks Jordan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,4055.72685009,12.67047213222213,DEFENSE,DEFENSE: 75,,,,REJECT,,,,SIDE R,4,P&R Handler,,,,,,,,,,,,,DRAG,,,,,#1 Mannion Nico,,,,4 Q,F,,,,,,Y,,,,,4,07:05,Mannion Nico,PERSONAL_FOUL,07:02,8,65,76,Horton Chris,Cole R.J.,Parks Jordan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,4080.961561898,15.48105761800025,DEFENSE,DEFENSE: 76,,,,FLAT,,,,TOP L,5,P&R Handler,,#23 Guduric Marko,SCREENER,#25 Diop Ousmane,HANDLER,,,,,,,,SOB,DR P,,,#23 Guduric Marko,#17 Ricci Giampaolo,,,1,4 Q,TO,,,,,,Y,,,,,4,06:57,Ricci Giampaolo,STEAL,06:51,13,65,76,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,4113.420719397,7.664724243000819,DEFENSE,DEFENSE: 77,,,,,,,,,,FB,,,,,,,,,,,,,FB,,,,,#1 Mannion Nico,,,4,4 Q,3P+,,,,,Left Corner 3,Y,,,,,4,06:28,Bolmaro Leandro,PERSONAL_FOUL_RECEIVED,06:12,16,68,76,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Diop Ousmane,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko
Venezia - Olimpia Milano 26-04-26,4192.496938162,38.74499883499993,DEFENSE,DEFENSE: 78,,,,FLAT,,,,SIDE R,5,P&R Screener,,#1 Mannion Nico,SCREENER,#32 Nebo Josh,HANDLER,,,,,,,,SOB 2 UP,ROLL,,,#32 Nebo Josh,#32 Nebo Josh,,,5,4 Q,1-2 FT,,,,,Rim,Y,,,,,4,06:06,Nebo Josh,PERSONAL_FOUL,06:01,9,68,76,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,4286.637537732,12.895398777999617,DEFENSE,DEFENSE: 79,,,,FLAT,SLIP,,,SLOT R,5,P&R Spot up,,#17 Ricci Giampaolo,SCREENER,#32 Nebo Josh,HANDLER,,,,,,,,FREE LANCE,P&R,,,#17 Ricci Giampaolo,#10 Bolmaro Leandro,,,4,4 Q,3P-,,,,,Left Corner 3,Y,,,,,4,05:38,Ricci Giampaolo,DEFENSIVE_REBOUND,05:32,17,69,76,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,4376.958552497,16.448858614000528,DEFENSE,DEFENSE: 80,,,,,,,,,,FC MAN,,,,,,,,,,,,,PRESS BREAK,,,,,#10 Bolmaro Leandro,,,,4 Q,F,,,,,,Y,,,,,4,04:57,Bolmaro Leandro,PERSONAL_FOUL,04:57,,69,76,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,4403.1341369,19.35805551199701,DEFENSE,DEFENSE: 81,,,,TRAIL HO,,,,SIDE L,4,HO Screener,,#1 Mannion Nico,SCREENER,#17 Ricci Giampaolo,HANDLER,,,,,,,,2 UP,,,,,#1 Mannion Nico,,,1,4 Q,TO + F,,,,,,Y,,,,,4,04:52,Mannion Nico,PERSONAL_FOUL_RECEIVED,04:44,,69,76,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,4473.879695308,15.262682469778156,DEFENSE,DEFENSE: 82,,,,,,,,,,BACK SCREENS,,,,,,,,,,,,,5 DOWN,,,,,#17 Ricci Giampaolo,,,,4 Q,1-2 FT,,,,,FT Area,Y,,,,,4,04:17,Ricci Giampaolo,PERSONAL_FOUL,04:10,17,69,78,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,4548.814036051,10.009394059000442,DEFENSE,DEFENSE: 83,,,,,,,,,,FB,,,,,,,,,,,,,FB,,,,,#12 Brooks Armoni,,,5,4 Q,3P+,,,,,Top of Key 3,Y,,,,,4,03:49,Brooks Armoni,PERSONAL_FOUL_RECEIVED,03:34,20,73,78,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,4628.14453137,24.772295112999927,DEFENSE,DEFENSE: 84,,,,,,,,,,1on1,,,,,,,,,,,,,5 DOWN,,,,,#31 Shields Shavon,,,3,CT,3P + 1,,,,,Top of Key 3,Y,,,,,4,03:32,Shields Shavon,PERSONAL_FOUL,03:18,,76,79,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,4708.626907492,17.359853705000205,DEFENSE,DEFENSE: 85,,,,PUSH,,,,SLOT L,5,P&R Screener,,#10 Bolmaro Leandro,SCREENER,#32 Nebo Josh,HANDLER,,,,,,,,DRAG 4 CORNERS,,,,,#12 Brooks Armoni,,,4,CT,1-2 FT,,,,,Paint,Y,,,,,4,02:55,Brooks Armoni,PERSONAL_FOUL,02:49,,77,82,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Guduric Marko,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,4797.126723934,10.783082353999816,DEFENSE,DEFENSE: 86,,,,,,,,,,FB,,,,,,,,,,,,,FB,TR A,,,#10 Bolmaro Leandro,#17 Ricci Giampaolo,,,4,CT,IN+,,,,,Rim,Y,,,,,4,02:27,Bolmaro Leandro,TWO_POINT_MADE,01:59,,80,84,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Guduric Marko,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,4831.76931415,13.688912073999745,DEFENSE,DEFENSE: 87,,,,REJECT,,,,SLOT L,5,P&R Screener,,#23 Guduric Marko,SCREENER,#32 Nebo Josh,HANDLER,,,,,,,,DRAG,P&R,,,#23 Guduric Marko,#32 Nebo Josh,,,5,CT,IN+,,,,,Rim,Y,,,,,4,01:53,Brooks Armoni,PERSONAL_FOUL_RECEIVED,01:24,,82,84,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Guduric Marko,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,4937.366579547,15.269089201000497,DEFENSE,DEFENSE: 88,,,,,,,,,,1on1,,,,,,,,,,,,,AWAY,DR P,,,#23 Guduric Marko,#32 Nebo Josh,,,3,CT,IN-,,,,,Paint,Y,,,,,4,01:25,Brooks Armoni,PERSONAL_FOUL_RECEIVED,01:24,,82,84,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Guduric Marko,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,5003.940788134,24.209644217999994,DEFENSE,DEFENSE: 89,,,,TRAIL HO,,,,ELBOW R,5,HO Handler,OR,#23 Guduric Marko,SCREENER,#32 Nebo Josh,HANDLER,,,,,,,,SOB ELBOW,P&R,,,#23 Guduric Marko,#23 Guduric Marko,,,3,CT,IN-,,,,,Paint,Y,,,,,4,01:00,Brooks Armoni,TURNOVER,00:52,,82,87,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Guduric Marko,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,5028.150432352,10.54950098133304,DEFENSE,DEFENSE: 90,,,,,,,,,,OR,,,,,,,,,,,,,OR,,,,,#32 Nebo Josh,,,,CT,1-2 FT,,,,,Rim,Y,,,,,4,01:00,Brooks Armoni,TURNOVER,00:52,,82,87,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Guduric Marko,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,5120.923804751,8.59119524900052,DEFENSE,DEFENSE: 91,,,,PUSH,,,,SIDE R,5,P&R Handler,"OR, OR",#12 Brooks Armoni,SCREENER,#32 Nebo Josh,HANDLER,,,,,,,,FREE LANCE,,,,,#12 Brooks Armoni,,,1,CT,3P-,,,,,Right Wing 3,Y,,,,,4,01:00,Brooks Armoni,TURNOVER,00:52,,82,87,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Guduric Marko,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,5129.515,5.45622162699965,DEFENSE,DEFENSE: 92,,,,,,,,,,OR,,,,,,,,,,,,,OR,,,,,#17 Ricci Giampaolo,,,5,CT,IN+,,,,,Rim,Y,,,,,4,01:00,Brooks Armoni,TURNOVER,00:52,,82,87,Cole R.J.,Tessitori Amedeo,Parks Jordan,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Guduric Marko,Nebo Josh,Brooks Armoni
